
# Surface 0 of 1 surfaces

# Curve title: "x*(log2(log2(y)))"

# IsoCurve 0, 20 points
# x y z type
0.0000000e+00 0.0000000e+00 0.0000000e+00 u
5.2631579e+01 0.0000000e+00 0.0000000e+00 u
1.0526316e+02 0.0000000e+00 0.0000000e+00 u
1.5789474e+02 0.0000000e+00 0.0000000e+00 u
2.1052632e+02 0.0000000e+00 0.0000000e+00 u
2.6315789e+02 0.0000000e+00 0.0000000e+00 u
3.1578947e+02 0.0000000e+00 0.0000000e+00 u
3.6842105e+02 0.0000000e+00 0.0000000e+00 u
4.2105263e+02 0.0000000e+00 0.0000000e+00 u
4.7368421e+02 0.0000000e+00 0.0000000e+00 u
5.2631579e+02 0.0000000e+00 0.0000000e+00 u
5.7894737e+02 0.0000000e+00 0.0000000e+00 u
6.3157895e+02 0.0000000e+00 0.0000000e+00 u
6.8421053e+02 0.0000000e+00 0.0000000e+00 u
7.3684211e+02 0.0000000e+00 0.0000000e+00 u
7.8947368e+02 0.0000000e+00 0.0000000e+00 u
8.4210526e+02 0.0000000e+00 0.0000000e+00 u
8.9473684e+02 0.0000000e+00 0.0000000e+00 u
9.4736842e+02 0.0000000e+00 0.0000000e+00 u
1.0000000e+03 0.0000000e+00 0.0000000e+00 u

# IsoCurve 1, 20 points
# x y z type
0.0000000e+00 5.2631579e+01 0.0000000e+00 i
5.2631579e+01 5.2631579e+01 1.3239339e+02 i
1.0526316e+02 5.2631579e+01 2.6478679e+02 i
1.5789474e+02 5.2631579e+01 3.9718018e+02 i
2.1052632e+02 5.2631579e+01 5.2957358e+02 i
2.6315789e+02 5.2631579e+01 6.6196697e+02 i
3.1578947e+02 5.2631579e+01 7.9436036e+02 i
3.6842105e+02 5.2631579e+01 9.2675376e+02 i
4.2105263e+02 5.2631579e+01 1.0591472e+03 i
4.7368421e+02 5.2631579e+01 1.1915405e+03 i
5.2631579e+02 5.2631579e+01 1.3239339e+03 i
5.7894737e+02 5.2631579e+01 1.4563273e+03 i
6.3157895e+02 5.2631579e+01 1.5887207e+03 i
6.8421053e+02 5.2631579e+01 1.7211141e+03 i
7.3684211e+02 5.2631579e+01 1.8535075e+03 i
7.8947368e+02 5.2631579e+01 1.9859009e+03 i
8.4210526e+02 5.2631579e+01 2.1182943e+03 i
8.9473684e+02 5.2631579e+01 2.2506877e+03 i
9.4736842e+02 5.2631579e+01 2.3830811e+03 i
1.0000000e+03 5.2631579e+01 2.5154745e+03 i

# IsoCurve 2, 20 points
# x y z type
0.0000000e+00 1.0526316e+02 0.0000000e+00 i
5.2631579e+01 1.0526316e+02 1.4463163e+02 i
1.0526316e+02 1.0526316e+02 2.8926327e+02 i
1.5789474e+02 1.0526316e+02 4.3389490e+02 i
2.1052632e+02 1.0526316e+02 5.7852653e+02 i
2.6315789e+02 1.0526316e+02 7.2315817e+02 i
3.1578947e+02 1.0526316e+02 8.6778980e+02 i
3.6842105e+02 1.0526316e+02 1.0124214e+03 i
4.2105263e+02 1.0526316e+02 1.1570531e+03 i
4.7368421e+02 1.0526316e+02 1.3016847e+03 i
5.2631579e+02 1.0526316e+02 1.4463163e+03 i
5.7894737e+02 1.0526316e+02 1.5909480e+03 i
6.3157895e+02 1.0526316e+02 1.7355796e+03 i
6.8421053e+02 1.0526316e+02 1.8802112e+03 i
7.3684211e+02 1.0526316e+02 2.0248429e+03 i
7.8947368e+02 1.0526316e+02 2.1694745e+03 i
8.4210526e+02 1.0526316e+02 2.3141061e+03 i
8.9473684e+02 1.0526316e+02 2.4587378e+03 i
9.4736842e+02 1.0526316e+02 2.6033694e+03 i
1.0000000e+03 1.0526316e+02 2.7480010e+03 i

# IsoCurve 3, 20 points
# x y z type
0.0000000e+00 1.5789474e+02 0.0000000e+00 i
5.2631579e+01 1.5789474e+02 1.5097124e+02 i
1.0526316e+02 1.5789474e+02 3.0194248e+02 i
1.5789474e+02 1.5789474e+02 4.5291371e+02 i
2.1052632e+02 1.5789474e+02 6.0388495e+02 i
2.6315789e+02 1.5789474e+02 7.5485619e+02 i
3.1578947e+02 1.5789474e+02 9.0582743e+02 i
3.6842105e+02 1.5789474e+02 1.0567987e+03 i
4.2105263e+02 1.5789474e+02 1.2077699e+03 i
4.7368421e+02 1.5789474e+02 1.3587411e+03 i
5.2631579e+02 1.5789474e+02 1.5097124e+03 i
5.7894737e+02 1.5789474e+02 1.6606836e+03 i
6.3157895e+02 1.5789474e+02 1.8116549e+03 i
6.8421053e+02 1.5789474e+02 1.9626261e+03 i
7.3684211e+02 1.5789474e+02 2.1135973e+03 i
7.8947368e+02 1.5789474e+02 2.2645686e+03 i
8.4210526e+02 1.5789474e+02 2.4155398e+03 i
8.9473684e+02 1.5789474e+02 2.5665111e+03 i
9.4736842e+02 1.5789474e+02 2.7174823e+03 i
1.0000000e+03 1.5789474e+02 2.8684535e+03 i

# IsoCurve 4, 20 points
# x y z type
0.0000000e+00 2.1052632e+02 0.0000000e+00 i
5.2631579e+01 2.1052632e+02 1.5516844e+02 i
1.0526316e+02 2.1052632e+02 3.1033687e+02 i
1.5789474e+02 2.1052632e+02 4.6550531e+02 i
2.1052632e+02 2.1052632e+02 6.2067374e+02 i
2.6315789e+02 2.1052632e+02 7.7584218e+02 i
3.1578947e+02 2.1052632e+02 9.3101061e+02 i
3.6842105e+02 2.1052632e+02 1.0861790e+03 i
4.2105263e+02 2.1052632e+02 1.2413475e+03 i
4.7368421e+02 2.1052632e+02 1.3965159e+03 i
5.2631579e+02 2.1052632e+02 1.5516844e+03 i
5.7894737e+02 2.1052632e+02 1.7068528e+03 i
6.3157895e+02 2.1052632e+02 1.8620212e+03 i
6.8421053e+02 2.1052632e+02 2.0171897e+03 i
7.3684211e+02 2.1052632e+02 2.1723581e+03 i
7.8947368e+02 2.1052632e+02 2.3275265e+03 i
8.4210526e+02 2.1052632e+02 2.4826950e+03 i
8.9473684e+02 2.1052632e+02 2.6378634e+03 i
9.4736842e+02 2.1052632e+02 2.7930318e+03 i
1.0000000e+03 2.1052632e+02 2.9482003e+03 i

# IsoCurve 5, 20 points
# x y z type
0.0000000e+00 2.6315789e+02 0.0000000e+00 i
5.2631579e+01 2.6315789e+02 1.5827142e+02 i
1.0526316e+02 2.6315789e+02 3.1654283e+02 i
1.5789474e+02 2.6315789e+02 4.7481425e+02 i
2.1052632e+02 2.6315789e+02 6.3308566e+02 i
2.6315789e+02 2.6315789e+02 7.9135708e+02 i
3.1578947e+02 2.6315789e+02 9.4962849e+02 i
3.6842105e+02 2.6315789e+02 1.1078999e+03 i
4.2105263e+02 2.6315789e+02 1.2661713e+03 i
4.7368421e+02 2.6315789e+02 1.4244427e+03 i
5.2631579e+02 2.6315789e+02 1.5827142e+03 i
5.7894737e+02 2.6315789e+02 1.7409856e+03 i
6.3157895e+02 2.6315789e+02 1.8992570e+03 i
6.8421053e+02 2.6315789e+02 2.0575284e+03 i
7.3684211e+02 2.6315789e+02 2.2157998e+03 i
7.8947368e+02 2.6315789e+02 2.3740712e+03 i
8.4210526e+02 2.6315789e+02 2.5323427e+03 i
8.9473684e+02 2.6315789e+02 2.6906141e+03 i
9.4736842e+02 2.6315789e+02 2.8488855e+03 i
1.0000000e+03 2.6315789e+02 3.0071569e+03 i

# IsoCurve 6, 20 points
# x y z type
0.0000000e+00 3.1578947e+02 0.0000000e+00 i
5.2631579e+01 3.1578947e+02 1.6071586e+02 i
1.0526316e+02 3.1578947e+02 3.2143172e+02 i
1.5789474e+02 3.1578947e+02 4.8214757e+02 i
2.1052632e+02 3.1578947e+02 6.4286343e+02 i
2.6315789e+02 3.1578947e+02 8.0357929e+02 i
3.1578947e+02 3.1578947e+02 9.6429515e+02 i
3.6842105e+02 3.1578947e+02 1.1250110e+03 i
4.2105263e+02 3.1578947e+02 1.2857269e+03 i
4.7368421e+02 3.1578947e+02 1.4464427e+03 i
5.2631579e+02 3.1578947e+02 1.6071586e+03 i
5.7894737e+02 3.1578947e+02 1.7678744e+03 i
6.3157895e+02 3.1578947e+02 1.9285903e+03 i
6.8421053e+02 3.1578947e+02 2.0893061e+03 i
7.3684211e+02 3.1578947e+02 2.2500220e+03 i
7.8947368e+02 3.1578947e+02 2.4107379e+03 i
8.4210526e+02 3.1578947e+02 2.5714537e+03 i
8.9473684e+02 3.1578947e+02 2.7321696e+03 i
9.4736842e+02 3.1578947e+02 2.8928854e+03 i
1.0000000e+03 3.1578947e+02 3.0536013e+03 i

# IsoCurve 7, 20 points
# x y z type
